Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
000856.SZ,20180104,30,2017-12-05
601000.SH,20180117,260,2017-05-02
603103.SH,20180125,0,
603813.SH,20180125,0,
600694.SH,20180131,189,2017-07-26
002472.SZ,20180314,517,2016-10-13
000795.SZ,20180315,181,2017-09-15
002870.SZ,20180322,0,
002900.SZ,20180404,0,
300629.SZ,20180404,147,2017-11-08
603106.SH,20180411,89,2018-01-12
603607.SH,20180411,62,2018-02-08
002155.SZ,20180412,240,2017-08-15
600055.SH,20180413,147,2017-11-17
600667.SH,20180413,99,2018-01-04
002023.SZ,20180418,190,2017-10-10
300570.SZ,20180418,168,2017-11-01
000021.SZ,20180419,161,2017-11-09
600438.SH,20180419,104,2018-01-05
600323.SH,20180427,169,2017-11-09
603002.SH,20180509,163,2017-11-27
300067.SZ,20180511,238,2017-09-15
600993.SH,20180516,7,2018-05-09
002437.SZ,20180523,455,2017-02-22
002433.SZ,20180601,609,2016-09-30
300689.SZ,20180614,65,2018-04-10
002523.SZ,20180810,52,2018-06-19
300659.SZ,20180905,124,2018-05-04
600635.SH,20181107,225,2018-03-27
603499.SH,20181109,135,2018-06-27
